"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"BIO2",0.180389893932962,19.823920628847,4.97239736795165,22.0064581685203,6.99076768074238
"BIO3",6.07781262639496,21.2972143811754,0.652461835344823,1.79562807063998,5.88318027518253
"BIO4",12.4819000210854,7.50904719618026,0.381954117801072,6.13373252452553,0.951367790728177
"BIO7",9.18316151403025,6.53117915240766e-05,4.28276061531259,29.39244796077,0.441786807072376
"BIO8",13.1381624034106,1.28917444609782,4.68191947278897,0.220979496980494,3.95082329360053
"BIO9",0.851584519691736,1.01516116753087,23.4837684267291,19.072565848921,0.0991470169591898
"BIO10",2.96837569313269,9.46262591999011,12.7256012109391,11.5037154208839,26.9304041175445
"BIO11",15.781772983211,0.0712225522747413,3.49944729376152,0.0136041257409431,7.00624133415771
"BIO12",13.3933906863103,4.56282209144302,1.02040322531411,0.0670901075121556,0.151334871171927
"BIO14",10.0507182553341,10.0897339960546,0.853089180519445,0.285959955825901,16.7235936395989
"BIO15",11.8397863345457,2.46334161261915,8.93308402656473,1.15114157278652,1.3563657601141
"BIO17",3.70166252240187,21.8820610531269,1.13859267046504,2.36371450645296,25.0765069658506
"BIO19",0.351282546518222,0.533609642868406,33.3745205565078,5.9929622404402,4.43848044727705
